,n_estimators,max_depth,train_score,train_score_std,val_score,val_score_std
0,10,4,0.47231603797726496,0.005175738825924314,0.4556888394350974,0.003412038884700793
1,20,4,0.4856086156517868,0.01648568013027973,0.45880217143975893,0.006008177585191311
2,30,4,0.48107317492327395,0.018794018823182795,0.455700317969292,0.003575567103218638
3,40,4,0.47738246997801825,0.0171606153103614,0.4541224273206059,0.0007086266728556413
4,50,4,0.4730518132089112,0.007998991675986188,0.4541224273206059,0.0007086266728556413
5,60,4,0.467970623907983,0.013236507108154412,0.4541224273206059,0.0007086266728556413
6,70,4,0.46463021205925836,0.006643749328011393,0.4541224273206059,0.0007086266728556413
7,80,4,0.465009451705831,0.006809468543968359,0.4541224273206059,0.0007086266728556413
8,90,4,0.4661886633919273,0.005511213457112258,0.4541224273206059,0.0007086266728556413
9,100,4,0.46460445315044624,0.008355678363191843,0.4541224273206059,0.0007086266728556413
10,10,6,0.6553168921092557,0.026658586543169046,0.4984381876442239,0.017544982923016823
11,20,6,0.6258665298280165,0.02203927079680735,0.4750485220230539,0.012735309291030249
12,30,6,0.6187624100035172,0.013991472619653795,0.4767623111666565,0.011138311934850393
13,40,6,0.6248141714751994,0.02398574613744417,0.47421569250590706,0.00799164830546283
14,50,6,0.6214061785921089,0.010384832357537042,0.47382158547213127,0.016263141839879043
15,60,6,0.6188239962566519,0.016384177570060894,0.466514431554114,0.007795295659772698
16,70,6,0.6193942364227155,0.021544526804842864,0.472521056983652,0.013912627402486905
17,80,6,0.6160954830253588,0.02588531917657924,0.463282933443571,0.005501966172253122
18,90,6,0.6154354293851612,0.027304225502060075,0.46645038443870257,0.009278654958650935
19,100,6,0.6129556222510166,0.019519573228064663,0.46190105748802396,0.008683346906628487
20,10,8,0.7952514212719677,0.010282985724741678,0.5327370840819843,0.008226020222562976
21,20,8,0.77494075541278,0.012814102225839874,0.5098090044171656,0.01837737128923764
22,30,8,0.7767964891782311,0.01211861880369398,0.502490988917325,0.006869513373257858
23,40,8,0.7830346004735003,0.012979633715747568,0.49429991763377884,0.010446784928731027
24,50,8,0.7789921984549326,0.014475082602164934,0.4913435401194105,0.010274672080344409
25,60,8,0.7788967042270516,0.01153464751910473,0.49444283105333564,0.011335919050340926
26,70,8,0.7791992849048718,0.01456890428927399,0.49843090058276635,0.019778457044819613
27,80,8,0.776333068959449,0.010373358114579704,0.49172250175803844,0.013646674089955072
28,90,8,0.7725515498914423,0.011707884882190916,0.49145870854309626,0.015164050054658842
29,100,8,0.7815348707686728,0.01617071945143233,0.48277478103680105,0.009822674208779877
30,10,10,0.8750410533012442,0.007788318306622243,0.5484854632439184,0.018983119689369086
31,20,10,0.8709067818462424,0.01121260699515844,0.5210613897229932,0.013299834401511662
32,30,10,0.8695007365785141,0.014057122415145897,0.5138111440658637,0.008851839111488635
33,40,10,0.8775589257998735,0.00838795894442313,0.5193264641092716,0.015650279020002107
34,50,10,0.8874482599260036,0.00901786358528564,0.5150127043790542,0.016239505401985238
35,60,10,0.8777524553322815,0.00670224901128765,0.5155709840924315,0.01636949628151641
36,70,10,0.8844763509128178,0.011271485864287901,0.5142434896188883,0.011217826066211727
37,80,10,0.8853737068140042,0.00506525578907365,0.5141745045726618,0.009261481929549753
38,90,10,0.8780462999832652,0.007788929538738189,0.5102907714896072,0.016675513452623233
39,100,10,0.8825862270082873,0.005707388102974366,0.5103998445896121,0.016646086362712396
