,n_estimators,max_depth,train_score,train_score_std,val_score,val_score_std
0,10,4,0.7888580791305844,0.003081240360086822,0.7686547943525017,0.008783920090834734
1,20,4,0.7868044570644499,0.004113154178965272,0.7668115731202586,0.005064241093517114
2,30,4,0.7868879554117697,0.005822211175599219,0.7682422302237419,0.007067686205404563
3,40,4,0.787113824543653,0.0034237374075717954,0.7695112032208252,0.007009663623524276
4,50,4,0.7871248078668638,0.0027063383792395226,0.7704056435443467,0.008284974187883789
5,60,4,0.7881195038101384,0.0028369233463635007,0.7693211367226831,0.006839679840587422
6,70,4,0.7870112199971036,0.0018624028511155305,0.768800680157398,0.0061014339304420765
7,80,4,0.7874628713328065,0.0017066812359487235,0.7693117316854472,0.006686618736918713
8,90,4,0.7872908500831831,0.0013668164788507918,0.7686114192808211,0.005914921697911613
9,100,4,0.787288740828566,0.001907646438237401,0.767900568358061,0.005330744113051011
10,10,6,0.8267381532996015,0.0036997394717294247,0.7819034456041296,0.013255653325058347
11,20,6,0.8281517950793841,0.004956692738988256,0.778119961944306,0.008245707804423292
12,30,6,0.8292488977470794,0.003399717369938173,0.7726533390742922,0.009370495318208124
13,40,6,0.8299148473191875,0.0041451224081088525,0.7763993268685252,0.00934899467362858
14,50,6,0.8291256714148207,0.004784826758556152,0.773793317891317,0.009559998136479212
15,60,6,0.8297019854678045,0.004263452658726321,0.7741197218810048,0.008249087222044017
16,70,6,0.8301876385329707,0.004211132275171887,0.7724138872317854,0.007443665742740984
17,80,6,0.8294086367572655,0.004433493012398165,0.7729903063007121,0.008461443748058631
18,90,6,0.8291440009650447,0.004562470286607025,0.7729890127687168,0.007666654345405436
19,100,6,0.8288482059970071,0.00503902765630445,0.7728030466175881,0.007722014453518829
20,10,8,0.864370709349474,0.007899854896950047,0.7892347807510779,0.006263640076918418
21,20,8,0.8669826813004666,0.0030065597659508377,0.7858979759805791,0.005626537246910965
22,30,8,0.8695595623031613,0.004020170803865991,0.7849683048617496,0.008677552797232747
23,40,8,0.8697876802554045,0.005072944513387241,0.7849353358289555,0.007082385698355403
24,50,8,0.8705018563682094,0.002228622795335242,0.7823902370676585,0.008163661705527483
25,60,8,0.8687217462417032,0.002897310515592484,0.7865103293586528,0.006384882220577551
26,70,8,0.8698225042644749,0.005334503117906403,0.7856023101487946,0.0067623508576495185
27,80,8,0.8695226947064038,0.0047991166663863966,0.7830461640044917,0.008226427446378644
28,90,8,0.8690901145228864,0.00600270775500072,0.7836930553639849,0.00816706951955826
29,100,8,0.8701846232526215,0.005089700213646743,0.7825153166719071,0.008518115255062091
30,10,10,0.895687896811746,0.0067033880284917725,0.7889294631765547,0.008200905772738545
31,20,10,0.8987489771389443,0.002978836450044395,0.7905451320767873,0.007949299636081712
32,30,10,0.8985480666706206,0.0024123029175458868,0.7918736172220684,0.009278970594125826
33,40,10,0.9021579305190099,0.0024570115337443563,0.7942387261356298,0.004607650913227647
34,50,10,0.9017174942478355,0.0023798667761564247,0.7946710774358481,0.007600340517601817
35,60,10,0.9024610010258668,0.0026317161558530077,0.791624034613048,0.0054822939692770875
36,70,10,0.9019466739524825,0.0021181457529981123,0.7912648395863184,0.007505193609988051
37,80,10,0.903579501704059,0.002642252590799668,0.7928616368300652,0.006506418159298671
38,90,10,0.9011272262050994,0.002144962446288852,0.7942202915370287,0.007529818243730111
39,100,10,0.902483703852843,0.0019742151724901945,0.7922860402386431,0.00765877834665876
