,p_value,batch_size,number_of_epochs,act,act_fin,train_score,val_score
37,0.3,400,1800,ReLU(),Sigmoid(),0.39960668173625147,0.3822788716405738
38,0.3,400,1850,ReLU(),Sigmoid(),0.40097314641908416,0.38152088393254197
39,0.3,400,1900,ReLU(),Sigmoid(),0.40228485123188934,0.3821081984510145
40,0.3,400,1950,ReLU(),Sigmoid(),0.40233859207211986,0.3835227272727273
41,0.3,400,2000,ReLU(),Sigmoid(),0.4017643577083574,0.3828156971037878
42,0.3,400,2050,ReLU(),Sigmoid(),0.40186395671045705,0.3821081984510145
43,0.3,400,2100,ReLU(),Sigmoid(),0.4016996308016878,0.38359774001787694
44,0.3,400,2150,ReLU(),Sigmoid(),0.40186395671045705,0.3828156971037878
45,0.3,400,2200,ReLU(),Sigmoid(),0.4018883454597877,0.3828156971037878
46,0.3,400,2250,ReLU(),Sigmoid(),0.4024141942990111,0.3828156971037878
47,0.3,400,2300,ReLU(),Sigmoid(),0.40233859207211986,0.3828156971037878
48,0.3,400,2350,ReLU(),Sigmoid(),0.4018883454597877,0.3835227272727273
49,0.3,400,2400,ReLU(),Sigmoid(),0.4013354947449785,0.3835227272727273
50,0.3,400,2450,ReLU(),Sigmoid(),0.4016631693870649,0.3835227272727273
51,0.3,400,2500,ReLU(),Sigmoid(),0.40260675218034536,0.3829475761322192
52,0.3,400,2550,ReLU(),Sigmoid(),0.4023539472410098,0.3827308647901472
53,0.3,400,2600,ReLU(),Sigmoid(),0.4027886989750169,0.38422929277113915
54,0.3,400,2650,ReLU(),Sigmoid(),0.4047063595900514,0.3846174481341019
55,0.3,400,2700,ReLU(),Sigmoid(),0.40280898218073236,0.38263333388999293
56,0.3,400,2750,ReLU(),Sigmoid(),0.402802709996918,0.3827308647901472
57,0.3,400,2800,ReLU(),Sigmoid(),0.40336673666834183,0.38333474445984306
58,0.3,400,2850,ReLU(),Sigmoid(),0.40313365507239796,0.38422929277113915
59,0.3,400,2900,ReLU(),Sigmoid(),0.4031427938690073,0.38263333388999293
60,0.3,400,2950,ReLU(),Sigmoid(),0.4041381934678788,0.38422929277113915
61,0.3,400,3000,ReLU(),Sigmoid(),0.4022466831512058,0.3827308647901472
62,0.3,400,3050,ReLU(),Sigmoid(),0.4035828501536823,0.3827308647901472
63,0.3,400,3100,ReLU(),Sigmoid(),0.4040383637629147,0.38263333388999293
64,0.3,400,3150,ReLU(),Sigmoid(),0.4026948067149631,0.3819314641744548
65,0.3,400,3200,ReLU(),Sigmoid(),0.4042621728626663,0.38263333388999293
66,0.3,400,3250,ReLU(),Sigmoid(),0.40526737818980896,0.384736203326908
67,0.3,400,3300,ReLU(),Sigmoid(),0.40437230945251057,0.3834350882771856
68,0.3,400,3350,ReLU(),Sigmoid(),0.40604411665504914,0.3832216151051231
69,0.3,400,3400,ReLU(),Sigmoid(),0.40703857212002315,0.3887944298734399
70,0.3,400,3450,ReLU(),Sigmoid(),0.4065729285184485,0.3901833527193855
71,0.3,400,3500,ReLU(),Sigmoid(),0.40659373072694605,0.3860115080311104
72,0.3,400,3550,ReLU(),Sigmoid(),0.40627498578349003,0.3846174481341019
73,0.3,400,3600,ReLU(),Sigmoid(),0.4041481816759799,0.3834350882771856
74,0.3,400,3650,ReLU(),Sigmoid(),0.4041481816759799,0.3827308647901472
75,0.3,400,3700,ReLU(),Sigmoid(),0.40635113268608414,0.3901833527193855
76,0.3,400,3750,ReLU(),Sigmoid(),0.40671256862487426,0.3853146978292382
77,0.3,400,3800,ReLU(),Sigmoid(),0.4072381336560441,0.39226365032816646
78,0.3,400,3850,ReLU(),Sigmoid(),0.40726094688761255,0.38670788253477595
79,0.3,400,3900,ReLU(),Sigmoid(),0.40526737818980896,0.38263333388999293
80,0.3,400,3950,ReLU(),Sigmoid(),0.40549067268677075,0.3840356996741502
81,0.3,400,4000,ReLU(),Sigmoid(),0.40571393516471044,0.3840356996741502
82,0.3,400,4050,ReLU(),Sigmoid(),0.40635113268608414,0.3887944298734399
83,0.3,400,4100,ReLU(),Sigmoid(),0.406498471223899,0.384736203326908
84,0.3,400,4150,ReLU(),Sigmoid(),0.407777052197592,0.39364850234572357
85,0.3,400,4200,ReLU(),Sigmoid(),0.4071580480726533,0.38670788253477595
86,0.3,400,4250,ReLU(),Sigmoid(),0.40760340478423446,0.3874038251396742
87,0.3,400,4300,ReLU(),Sigmoid(),0.40635113268608414,0.3874038251396742
88,0.3,400,4350,ReLU(),Sigmoid(),0.40736153592241076,0.3874038251396742
89,0.3,400,4400,ReLU(),Sigmoid(),0.40711307922057804,0.3915706242410669
90,0.3,400,4450,ReLU(),Sigmoid(),0.4067946938560495,0.3887944298734399
91,0.3,400,4500,ReLU(),Sigmoid(),0.40790306845546065,0.3915706242410669
92,0.3,400,4550,ReLU(),Sigmoid(),0.407777052197592,0.39364850234572357
93,0.3,400,4600,ReLU(),Sigmoid(),0.4070164288511257,0.3894890996240011
94,0.3,400,4650,ReLU(),Sigmoid(),0.4085677370411199,0.3915706242410669
95,0.3,400,4700,ReLU(),Sigmoid(),0.4072381336560441,0.39226365032816646
96,0.3,400,4750,ReLU(),Sigmoid(),0.40834621017017625,0.39226365032816646
97,0.3,400,4800,ReLU(),Sigmoid(),0.4085677370411199,0.39226365032816646
98,0.3,400,4850,ReLU(),Sigmoid(),0.40954636137493616,0.39416969762770754
99,0.3,400,4900,ReLU(),Sigmoid(),0.4081246540260065,0.3915706242410669
100,0.3,400,4950,ReLU(),Sigmoid(),0.40745980842330065,0.3894890996240011
101,0.3,400,4999,ReLU(),Sigmoid(),0.409453554860287,0.39226365032816646
102,0.3,400,0,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
103,0.3,400,50,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
104,0.3,400,100,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
105,0.3,400,150,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
106,0.3,400,200,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
107,0.3,400,250,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
108,0.3,400,300,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
109,0.3,400,350,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
110,0.3,400,400,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
111,0.3,400,450,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
112,0.3,400,500,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
113,0.3,400,550,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
114,0.3,400,600,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
115,0.3,400,650,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
116,0.3,400,700,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
117,0.3,400,750,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
118,0.3,400,800,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
119,0.3,400,850,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
120,0.3,400,900,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
121,0.3,400,950,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
122,0.3,400,1000,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
123,0.3,400,1050,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
124,0.3,400,1100,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
125,0.3,400,1150,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
126,0.3,400,1200,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
127,0.3,400,1250,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
128,0.3,400,1300,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
129,0.3,400,1350,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
130,0.3,400,1400,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
131,0.3,400,1450,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
132,0.3,400,1500,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
133,0.3,400,1550,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
134,0.3,400,1600,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
135,0.3,400,1650,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
136,0.3,400,1700,ReLU(),Softmax(dim=None),0.1420637240572932,0.14922813036020582
