,l_ratio,c_ratio,train_score,train_score_std,val_score,val_score_std
0,0.0,0.001,0.8212200599594641,0.003170207803039923,0.7585450395453511,0.004408567783992452
1,0.0,0.01,0.9069094662212895,0.008353731782291417,0.752342662137201,0.022590176747788186
2,0.0,0.1,0.9497002258907429,0.006989722265768865,0.7377662886557127,0.025289265990327908
3,0.0,0.5,0.9699172480785107,0.006643738920437253,0.7348752739216966,0.023862951712139528
4,0.0,1.0,0.9745090515784958,0.005792125344045486,0.7306898452784688,0.02377673096058706
5,0.0,5.0,0.9806308003808291,0.004611059950543192,0.7309834922961744,0.01611909427829468
6,0.0,10.0,0.9812130200034478,0.004827127870531595,0.7320451479762711,0.013228585851263486
7,0.2,0.001,0.7606974828963324,0.00020367740842801684,0.7606978647232882,0.0008136723372138199
8,0.2,0.01,0.8291415580632193,0.0028872865440796106,0.75639526494313,0.0034982100687406814
9,0.2,0.1,0.9329845564546133,0.005237295766219178,0.74564248812925,0.02911628194511295
10,0.2,0.5,0.9656023087789795,0.007152437303489167,0.7347622180848707,0.022657236222955637
11,0.2,1.0,0.9735013768659518,0.005780567011963058,0.7282690941460193,0.023293050305452874
12,0.2,5.0,0.9801441643972275,0.004302238431248922,0.7309249432556395,0.017314431241811534
13,0.2,10.0,0.9812927160892497,0.004838795065492365,0.7266839060758877,0.019104154183157713
14,0.5,0.001,0.7606974828963324,0.00020367740842801684,0.7606978647232882,0.0008136723372138199
15,0.5,0.01,0.7671683209082125,0.0037075870979350277,0.7612471289091998,0.001807925531338601
16,0.5,0.1,0.9125056933383693,0.006271338845596627,0.7501079115802243,0.035197920314649134
17,0.5,0.5,0.9577118547722595,0.006925875228641384,0.7365472431233406,0.027995188622956742
18,0.5,1.0,0.9703487992207862,0.005799623049515853,0.731993771083358,0.02280702767788485
19,0.5,5.0,0.980224697373502,0.004406765298465741,0.7296176974177392,0.015508846488480423
20,0.5,10.0,0.981133957361277,0.004874337408313564,0.7283131429972148,0.016087652282336877
21,0.8,0.001,0.7606974828963324,0.00020367740842801684,0.7606978647232882,0.0008136723372138199
22,0.8,0.01,0.7606974828963324,0.00020367740842801684,0.7606978647232882,0.0008136723372138199
23,0.8,0.1,0.89453407325269,0.008833834706946963,0.7539166512457663,0.027500297614475765
24,0.8,0.5,0.9517466841628792,0.007306225818601524,0.7391190933997491,0.026631707222053397
25,0.8,1.0,0.96628731626699,0.0071361533224081454,0.7310979818452676,0.02924483960542751
26,0.8,5.0,0.9802213823433643,0.004471538537713452,0.7291982161574339,0.01484088293693021
27,0.8,10.0,0.9812114110457972,0.004962394127341284,0.7291768874501587,0.015153919039623247
28,1.0,0.001,0.7606974828963324,0.00020367740842801684,0.7606978647232882,0.0008136723372138199
29,1.0,0.01,0.7606974828963324,0.00020367740842801684,0.7606978647232882,0.0008136723372138199
30,1.0,0.1,0.8834368617111922,0.01063711097907921,0.7566114985089669,0.023360791759932643
31,1.0,0.5,0.9456086506340441,0.007887549369140205,0.7395865706333745,0.02698302260458788
32,1.0,1.0,0.9640928567226394,0.007070444992127219,0.7331277485427099,0.02854176452491645
33,1.0,5.0,0.97998108672393,0.0046246322539805354,0.73407416566385,0.015460464048557285
34,1.0,10.0,0.9811270901950427,0.005047805863289284,0.7320752611025927,0.01408419897930837
