,p_value,batch_size,number_of_epochs,train_score,val_score
1,0.3,200.0,0.0,0.4753410528497221,0.4976440229643262
2,0.3,200.0,10.0,0.6397297774597417,0.6419738091959203
3,0.3,200.0,20.0,0.64551385504605,0.6485889484635774
4,0.3,200.0,30.0,0.6458402558183115,0.6485889484635774
5,0.3,200.0,40.0,0.6479977825215925,0.6504690870344864
6,0.3,200.0,50.0,0.6483228072876959,0.6514075408918686
7,0.3,200.0,60.0,0.6492971449133911,0.6514075408918686
8,0.3,200.0,70.0,0.6492971449133911,0.6514075408918686
9,0.3,200.0,80.0,0.651242529874932,0.6523449271646294
10,0.3,200.0,90.0,0.6502703832971908,0.6523449271646294
11,0.3,200.0,100.0,0.6571442014738487,0.6518562284657686
12,0.3,200.0,110.0,0.659411462858577,0.6574357505998057
13,0.3,200.0,120.0,0.6606836467963102,0.6583620508546776
14,0.3,200.0,130.0,0.6582443740671494,0.6555800755923594
15,0.3,200.0,140.0,0.6606836467963102,0.6583620508546776
16,0.3,200.0,150.0,0.6606836467963102,0.6583620508546776
17,0.3,200.0,160.0,0.6606836467963102,0.6583620508546776
18,0.3,200.0,170.0,0.6606836467963102,0.6583620508546776
19,0.3,200.0,180.0,0.6606836467963102,0.6583620508546776
20,0.3,200.0,190.0,0.663539545535866,0.6602116127708564
21,0.3,200.0,200.0,0.6625885730545482,0.659287335840774
22,0.3,200.0,210.0,0.6665479274698571,0.6638987853489181
23,0.3,200.0,220.0,0.6663865936079201,0.6638987853489181
24,0.3,200.0,230.0,0.6715657029043952,0.6679165097218811
25,0.3,200.0,240.0,0.6712528671065958,0.6688271769214392
26,0.3,200.0,250.0,0.6715657029043952,0.6679165097218811
27,0.3,200.0,260.0,0.6754526929004084,0.6706457198629018
28,0.3,200.0,270.0,0.6754526929004084,0.6697369111162215
29,0.3,200.0,280.0,0.6770068966232282,0.6715536107598343
30,0.3,200.0,290.0,0.6754526929004084,0.6706457198629018
31,0.3,200.0,300.0,0.6760746659157235,0.670052213443874
32,0.3,200.0,310.0,0.678823793329098,0.673662249802315
33,0.3,200.0,320.0,0.6791787435217278,0.6718590518904314
34,0.3,200.0,330.0,0.6817267637415837,0.67329667830393
35,0.3,200.0,340.0,0.6836912366318824,0.6750779160442664
36,0.3,200.0,350.0,0.6846109987049441,0.6759671962341866
37,0.3,200.0,360.0,0.6865608159116359,0.6795155704510544
38,0.3,200.0,370.0,0.6853384354445492,0.6786297734774563
39,0.3,200.0,380.0,0.6868661939769666,0.6795155704510544
40,0.3,200.0,390.0,0.6877818124573568,0.6795155704510544
41,0.3,200.0,400.0,0.6902197376338205,0.6797135822075484
42,0.3,200.0,410.0,0.6911325885476667,0.6805933485997795
43,0.3,200.0,420.0,0.6899197562678956,0.6798879481750383
44,0.3,200.0,430.0,0.6908283868894634,0.6797135822075484
45,0.3,200.0,440.0,0.6911325885476667,0.6781363743582393
46,0.3,200.0,450.0,0.6914339283754851,0.680907263770712
47,0.3,200.0,460.0,0.694154348640452,0.6817755322547336
48,0.3,200.0,470.0,0.694154348640452,0.680907263770712
49,0.3,200.0,480.0,0.6959644287709815,0.6826429516525363
50,0.3,200.0,490.0,0.6974707329105873,0.6852401921137504
51,0.3,200.0,500.0,0.7010783644372732,0.6861042922270159
52,0.3,200.0,510.0,0.7010783644372732,0.6861042922270159
53,0.3,200.0,520.0,0.7045213478352436,0.689617535509644
54,0.3,200.0,530.0,0.7057145523468293,0.6913259072942868
55,0.3,200.0,540.0,0.7089906327840969,0.6930311992664004
56,0.3,200.0,550.0,0.7095854878125201,0.6930311992664004
57,0.3,200.0,560.0,0.7144366378139273,0.7023582469448505
58,0.3,200.0,570.0,0.7137430144200508,0.6964328076990003
59,0.3,200.0,580.0,0.7144366378139273,0.7015138013235382
60,0.3,200.0,590.0,0.71603612451379,0.7031482225764416
61,0.3,200.0,600.0,0.716916680851252,0.7030648240902303
62,0.3,200.0,610.0,0.7195557345029843,0.7055566758982909
63,0.3,200.0,620.0,0.7213821831586209,0.7105231507161617
64,0.3,200.0,630.0,0.724303271941649,0.7105231507161617
65,0.3,200.0,640.0,0.7240288831319183,0.7111723967305982
66,0.3,200.0,650.0,0.7246070182167721,0.7111723967305982
67,0.3,200.0,660.0,0.7257597904691981,0.7152600588255407
68,0.3,200.0,670.0,0.7274280723364456,0.7185202350968727
69,0.3,200.0,680.0,0.7274056093432036,0.7190578669778853
70,0.3,200.0,690.0,0.7331480383680292,0.7267168156896254
71,0.3,200.0,700.0,0.734271342879786,0.7283055225880954
72,0.3,200.0,710.0,0.7344953108207446,0.73147804576376
73,0.3,200.0,720.0,0.7345703759851565,0.7306854960038232
74,0.3,200.0,730.0,0.7347727226925368,0.7322702288814037
75,0.3,200.0,740.0,0.7380991808248586,0.7370163532596152
76,0.3,200.0,750.0,0.7410146121333373,0.739385539833301
77,0.3,200.0,760.0,0.7418369112154082,0.7401747885441522
78,0.3,200.0,770.0,0.7419105143819452,0.7427373164669159
79,0.3,200.0,780.0,0.7427958006815092,0.7442969038758512
80,0.3,200.0,790.0,0.7460371459217194,0.7450764384887256
81,0.3,200.0,800.0,0.7462080835966051,0.7444072263246038
82,0.3,200.0,810.0,0.7488872681920514,0.7467262992037333
83,0.3,200.0,820.0,0.7475715554220014,0.7474862183469816
84,0.3,200.0,830.0,0.748687857513467,0.7391737028763267
85,0.3,200.0,840.0,0.7522153022201595,0.7435759500503826
86,0.3,200.0,850.0,0.7516196787571824,0.7442604120349784
87,0.3,200.0,860.0,0.7541685007464215,0.7490296945104699
88,0.3,200.0,870.0,0.7544048620876695,0.7490296945104699
89,0.3,200.0,880.0,0.7548774532711708,0.748266070846716
90,0.3,200.0,890.0,0.758436006071835,0.7509018501155743
91,0.3,200.0,900.0,0.7596047123573809,0.7541754541754543
92,0.3,200.0,910.0,0.7603054791619451,0.7541754541754543
93,0.3,200.0,920.0,0.7592975081390302,0.7561284486657621
94,0.3,200.0,930.0,0.760066292951779,0.7587195228584315
95,0.3,200.0,940.0,0.7604897315662967,0.7580731325412177
96,0.3,200.0,950.0,0.7607120429310968,0.7600095587356733
97,0.3,200.0,960.0,0.7609270896184244,0.7600095587356733
98,0.3,200.0,970.0,0.7609270896184244,0.7600095587356733
99,0.3,200.0,980.0,0.7609270896184244,0.7600095587356733
100,0.3,200.0,990.0,0.7609270896184244,0.7600095587356733
101,0.3,200.0,999.0,0.7609270896184244,0.7600095587356733
102,0.3,400.0,0.0,0.19717604961649882,0.2273762082245555
103,0.3,400.0,10.0,0.6480889879851355,0.6489939305842355
104,0.3,400.0,20.0,0.6530930555274272,0.6565860104013298
105,0.3,400.0,30.0,0.6530473449645424,0.6603571457099265
