,l_ratio,c_ratio,train_score,train_score_std,val_score,val_score_std
0,0.0,0.001,0.45412806648153864,0.0001765487215932791,0.4541224273206059,0.0007086266728556413
1,0.0,0.01,0.45412806648153864,0.0001765487215932791,0.4541224273206059,0.0007086266728556413
2,0.0,0.1,0.45412806648153864,0.0001765487215932791,0.4541224273206059,0.0007086266728556413
3,0.0,0.5,0.5419669328990591,0.017758244239465676,0.5055325563590738,0.025942585654320973
4,0.0,1.0,0.5957110710007447,0.010507313029880354,0.5418848137839539,0.02990542442816001
5,0.0,5.0,0.7138541214417318,0.002055842386925986,0.6001963484790684,0.029440421305819402
6,0.0,10.0,0.7479250657566688,0.003659443159308979,0.6128784973818597,0.020578678992160936
7,0.2,0.001,0.45412806648153864,0.0001765487215932791,0.4541224273206059,0.0007086266728556413
8,0.2,0.01,0.45412806648153864,0.0001765487215932791,0.4541224273206059,0.0007086266728556413
9,0.2,0.1,0.45412806648153864,0.0001765487215932791,0.4541224273206059,0.0007086266728556413
10,0.2,0.5,0.5079077640056189,0.01319050116268132,0.4766743393525397,0.018541518718064566
11,0.2,1.0,0.5822947681421309,0.012517547966183012,0.5331333246611694,0.022959061370270557
12,0.2,5.0,0.716197293063345,0.0032380415932817823,0.6056330195268413,0.027487422948518254
13,0.2,10.0,0.7510180788680331,0.0036769782656969224,0.614774443495574,0.024782215760285404
14,0.5,0.001,0.45412806648153864,0.0001765487215932791,0.4541224273206059,0.0007086266728556413
15,0.5,0.01,0.45412806648153864,0.0001765487215932791,0.4541224273206059,0.0007086266728556413
16,0.5,0.1,0.45412806648153864,0.0001765487215932791,0.4541224273206059,0.0007086266728556413
17,0.5,0.5,0.47942589441952865,0.009109059760304083,0.4602474018177478,0.009173504575071809
18,0.5,1.0,0.5624320424830392,0.015877995026233663,0.5220534048294135,0.02315544153397691
19,0.5,5.0,0.7229787653703701,0.003790265777705087,0.6075588641468126,0.017755411422139336
20,0.5,10.0,0.7582109910135487,0.0035891745537748707,0.61378496467166,0.023561272064729518
21,0.8,0.001,0.45412806648153864,0.0001765487215932791,0.4541224273206059,0.0007086266728556413
22,0.8,0.01,0.45412806648153864,0.0001765487215932791,0.4541224273206059,0.0007086266728556413
23,0.8,0.1,0.45412806648153864,0.0001765487215932791,0.4541224273206059,0.0007086266728556413
24,0.8,0.5,0.46763405465828967,0.006753562209575606,0.45872520627017693,0.006345256950428049
25,0.8,1.0,0.5487978401687299,0.016312420633893376,0.5122538708274027,0.021213168259718723
26,0.8,5.0,0.7338768860523909,0.003761407798824514,0.6107550871786479,0.021680497760997227
27,0.8,10.0,0.7728070458070024,0.0037247483185960024,0.6191023201133385,0.02195529519784873
28,1.0,0.001,0.45412806648153864,0.0001765487215932791,0.4541224273206059,0.0007086266728556413
29,1.0,0.01,0.45412806648153864,0.0001765487215932791,0.4541224273206059,0.0007086266728556413
30,1.0,0.1,0.45412806648153864,0.0001765487215932791,0.4541224273206059,0.0007086266728556413
31,1.0,0.5,0.4689197414964731,0.008955363651685004,0.46190105748802396,0.008683346906628487
32,1.0,1.0,0.556557979534433,0.015826068286916763,0.517098269595228,0.018493833392601657
33,1.0,5.0,0.748473391339281,0.003640875426052185,0.6146381064886978,0.023330532942430846
34,1.0,10.0,0.7968612893695147,0.005982887456478678,0.6125598306702025,0.015962397696755334
